
ARTIGO 1:
absorver: 1
consumista: 1
entrada: 1
associado: 1
violênciafootnote: 1
chegou: 1
ousado: 1
mostrar: 1
professores: 1
alunos: 1
simbolismo: 1
trouxe: 1
tocada: 1
banda: 1
haley: 1
comets: 1
representante: 1
pessoas: 1
velhas: 1
mesmas: 1
frank: 1
sinatra: 1
novidade: 1
idade: 1
cantando: 1
passavam: 1
transformou: 1
atitude: 1
autodefinição: 1
conseguem: 1
vincular: 1
mensagens: 1
conquistados: 1
pesquisa: 1
frequentavam: 1
yorkshire: 1
provou: 1
define: 1
reflexo: 1
necessidade: 1
pertencer: 1
formando: 1
buscando: 1
levado: 1
interagir: 1
utilizada: 1
fonte: 1
maioria: 1
estudados: 1
escolhido: 1
básica: 1
independentemente: 1
acadêmica: 1
constatar: 1
gere: 1
coletividade: 1
escolha: 1
favoritas: 1
adota: 1
tornandoas: 1
socialização: 1
shows: 1
festas: 1
coletivização: 1
diferentesfootnote: 1
entender: 1
estilos: 1
considerálo: 1
mestiço: 1
proporcionado: 1
intensa: 1
migração: 1
póssegunda: 1
industriais: 1
adaptaram: 1
formato: 1
conjunto: 1
canto: 1
gospel: 1
inspiraram: 1
gestos: 1
corporais: 1
pegou: 1
batida: 1
comunidade: 1
híbrido: 1
essência: 1
dominante: 1
proporcionava: 1
excitante: 1
extravasar: 1
emoções: 1
citam: 1
cotidiano: 1
namoro: 1
amigos: 1
saídas: 1
logo: 1
contestações: 1
morais: 1
protegido: 1
figuras: 1
adultas: 1
romance: 1
reinam: 1
oposto: 1
alcança: 1
nãoverbal: 1
linguagem: 1
corporal: 1
verbal: 1
desenvolveram: 1
performances: 1
palco: 1
deixavam: 1
plateia: 1
enlouquecida: 1
coreografias: 1
conotação: 1
amplamente: 1
criticada: 1
reagiam: 1
emocionalmente: 1
movendo: 1
corpos: 1
vibrações: 1
acompanhavam: 1
desafiar: 1
expressar: 1
temática: 1
presente: 1
jerry: 1
lewis: 1
constantemente: 1
cantava: 1
incontrolável: 1
little: 1
richard: 1
celebrava: 1
maníaco: 1
subversiva: 1
expectativa: 1
sucessos: 1
excetuandose: 1
caminho: 1
consolidam: 1
aumento: 1
deixou: 1
luxo: 1
centro: 1
empresas: 1
deixam: 1
investir: 1
rádios: 1
patrocínio: 1
apostam: 1
diminuindo: 1
custo: 1
auxiliou: 1
audição: 1
vivendo: 1
segregação: 1
devidamente: 1
valorizados: 1
deixados: 1
comunicações: 1
projeção: 1
lentamente: 1
comunidades: 1
oito: 1
semanas: 1
topos: 1
paradas: 1
adotarem: 1
hino: 1
liberdades: 1
vetadas: 1
barreira: 1
precárias: 1
apoiavam: 1
lançando: 1
selos: 1
fundos: 1
loja: 1
móveis: 1
motel: 1
orquestra: 1
inteira: 1
piano: 1
cauda: 1
entrasse: 1
pé: 1
captava: 1
saxofones: 1
alvin: 1
tyler: 1
allen: 1
bateria: 1
earl: 1
palmer: 1
baixista: 1
robert: 1
bumps: 1
blackwell: 1
produtor: 1
fats: 1
domino: 1
possuírem: 1
segregacionista: 1
sofre: 1
críticas: 1
educação: 1
militar: 1
hierárquicas: 1
trabalho: 1
gostavam: 1
espontâneo: 1
animalesca: 1
irracionais: 1
governantes: 1
religiosos: 1
educadores: 1
acusavam: 1
estimular: 1
preguiçosos: 1
indolentes: 1
paradigmas: 1
hierárquicos: 1
mostrou: 1
apresentava: 1
imensa: 1
mídia: 1
solução: 1
pensada: 1
embranquecer: 1
afastados: 1
substituídos: 1
adaptou: 1
influências: 1
ligandoas: 1
colocar: 1
guitarras: 1
plano: 1
ganharam: 1
parcela: 1
prática: 1
transformar: 1
mercadoria: 1
ponte: 1
jeito: 1
dançar: 1
cópia: 1
direta: 1
tradição: 1
censura: 1
mostravam: 1
cintura: 1
fundindo: 1
habilidade: 1
aproveita: 1
preconceito: 1
impedia: 1
faceta: 1
voltada: 1
expandir: 1
cantos: 1
ajudando: 1
consolidar: 1
afastouo: 1
aproximou: 1
amor: 1
romântico: 1
batalharam: 1
deixado: 1
negativa: 1
ameaça: 1
tamanho: 1
exportado: 1
países: 1
vai: 1
adaptálo: 1
inglaterra: 1
entra: 1
região: 1
portuária: 1
presença: 1
trabalhadores: 1
lá: 1
destaques: 1
beatles: 1
rolling: 1
stones: 1
cujos: 1
costumam: 1
aparecer: 1
colocações: 1
melhores: 1
especializadas: 1
músicafootnote: 1
princípio: 1
sentimental: 1
amadurecimento: 1
leva: 1
ampla: 1
conseguiram: 1
estabilidade: 1
obtiveram: 1
luta: 1
igualdade: 1
protestos: 1
pacíficos: 1
físico: 1
acabam: 1
influenciando: 1
raciais: 1
batalha: 1
ideológica: 1
capitalismo: 1
urss: 1
socialismo: 1
quente: 1
medo: 1
ataque: 1
espalha: 1
união: 1
soviética: 1
ficando: 1
chegada: 1
fidel: 1
castro: 1
cuba: 1
líderes: 1
morrem: 1
efeitos: 1
assassinados: 1
john: 1
bob: 1
kennedy: 1
políticos: 1
reformas: 1
